Timestamp,Confirmed,Deaths,Recovered,Active
2020-01-22,1,0,0,1
2020-01-23,1,0,0,1
2020-01-24,3,0,0,3
2020-01-25,3,0,0,3
2020-01-26,4,0,0,4
2020-01-27,6,0,0,6
2020-01-28,7,0,0,7
2020-01-29,11,0,0,11
2020-01-30,14,0,0,14
2020-01-31,17,0,0,17
2020-02-01,20,0,0,20
2020-02-02,20,0,0,20
2020-02-03,20,0,0,20
2020-02-04,23,0,0,23
2020-02-05,25,0,0,25
2020-02-06,25,0,0,25
2020-02-07,25,0,4,21
2020-02-08,26,0,4,22
2020-02-09,26,0,0,26
2020-02-10,26,0,4,22
2020-02-11,26,0,0,26
2020-02-12,28,0,4,24
2020-02-13,33,1,10,22
2020-02-14,41,1,10,30
2020-02-15,53,1,12,40
2020-02-16,59,1,12,46
2020-02-17,65,1,17,47
2020-02-18,73,1,18,54
2020-02-19,85,1,20,64
2020-02-20,93,1,18,74
2020-02-21,105,1,18,86
2020-02-22,132,1,18,113
2020-02-23,144,1,22,121
2020-02-24,157,1,22,134
2020-02-25,164,1,23,140
2020-02-26,186,3,27,156
2020-02-27,210,4,32,174
2020-02-28,230,5,40,185
2020-02-29,239,5,41,193
2020-03-01,254,6,42,206
2020-03-02,268,6,42,220
2020-03-03,284,6,43,235
2020-03-04,317,6,46,265
2020-03-05,349,6,46,297
2020-03-06,408,6,46,356
2020-03-07,455,6,76,373
2020-03-08,488,7,76,405
2020-03-09,514,9,76,429
2020-03-10,568,12,101,455
2020-03-11,620,15,102,503
2020-03-12,675,19,118,538
2020-03-13,716,21,135,560
2020-03-14,780,22,118,640
2020-03-15,814,24,144,646
2020-03-16,829,28,144,657
2020-03-17,873,29,164,680
2020-03-18,914,31,144,739
2020-03-19,950,33,191,726
2020-03-20,1007,35,215,757
2020-03-21,1054,36,215,803
2020-03-22,1086,41,215,830
2020-03-23,1128,42,235,851
2020-03-24,1193,43,301,849
2020-03-25,1291,45,301,945
2020-03-26,1387,46,359,982
2020-03-27,1499,49,359,1091
2020-03-28,1693,52,359,1282
2020-03-29,1866,52,404,1410
2020-03-30,1953,56,404,1493
2020-03-31,2178,57,408,1713
2020-04-01,2384,57,472,1855
2020-04-02,2617,65,472,2080
2020-04-03,2920,69,472,2379
2020-04-04,3271,70,514,2687
2020-04-05,3654,73,584,2997
2020-04-06,3906,80,592,3234
2020-04-07,4257,81,622,3554
2020-04-08,4768,85,632,4051
2020-04-09,5347,88,632,4627
2020-04-10,6005,94,714,5197
2020-04-11,6748,98,762,5888
2020-04-12,7255,102,762,6391
2020-04-13,7645,109,762,6774
2020-04-14,8100,119,799,7182
2020-04-15,8582,136,853,7593
2020-04-16,9167,148,918,8101
2020-04-17,9795,154,1012,8629
2020-04-18,10361,161,1012,9188
2020-04-19,10751,171,1069,9511
2020-04-20,11119,186,1239,9694
2020-04-21,11496,277,1239,9980
2020-04-22,11919,287,1424,10208
2020-04-23,12388,317,2408,9663
2020-04-24,12829,334,2536,9959
2020-04-25,13182,348,2536,10298
2020-04-26,13385,351,2815,10219
2020-04-27,13576,376,2905,10295
2020-04-28,13852,389,3187,10276
2020-04-29,14088,415,3187,10486
2020-04-30,14281,432,3466,10383
2020-05-01,14544,458,3466,10620
2020-05-02,14839,492,3981,10366
2020-05-03,15057,510,3981,10566
2020-05-04,15231,521,4496,10214
2020-05-05,15354,543,4587,10224
2020-05-06,15463,551,4918,9994
2020-05-07,15547,557,4918,10072
2020-05-08,15628,601,5906,9121
2020-05-09,15747,613,5906,9228
2020-05-10,15798,621,8127,7050
2020-05-11,15874,643,8514,6717
2020-05-12,16024,668,8920,6436
2020-05-13,16079,687,9868,5524
